               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078257,            0.030257,                   0,             0.32134,             0.34335,             0.25568,            0.086509,            0.058407,            0.075703,                   0,            0.067733,          0.00032593,          0.00032593
                   1,             0.06055,            0.025581,                   0,             0.72967,             0.66032,             0.72397,             0.29301,             0.03566,            0.036098,                   0,             0.03473,            0.000656,            0.000656
                   2,            0.052572,             0.02131,                   0,             0.80227,             0.72103,             0.79391,             0.30951,            0.034488,           0.0092083,                   0,           0.0017235,          0.00098277,          0.00098277
                   3,            0.047491,            0.019976,                   0,             0.85729,             0.79923,             0.89221,             0.52634,            0.026673,            0.011313,                   0,          0.00098515,          0.00098515,          0.00098515
                   4,            0.046506,            0.019117,                   0,             0.79287,             0.77215,             0.83271,             0.46773,            0.025814,           0.0092292,                   0,          0.00098515,          0.00098515,          0.00098515
                   5,            0.042077,            0.017465,                   0,             0.88543,             0.75107,             0.87252,             0.54777,             0.02368,           0.0076489,                   0,           0.0009802,           0.0009802,           0.0009802
                   6,            0.042254,             0.01757,                   0,             0.81788,             0.80954,             0.86613,             0.50064,            0.026012,           0.0072789,                   0,          0.00097525,          0.00097525,          0.00097525
                   7,             0.04011,            0.017194,                   0,             0.80796,             0.82833,             0.87893,             0.56573,            0.020834,           0.0075738,                   0,           0.0009703,           0.0009703,           0.0009703
                   8,            0.039185,            0.017427,                   0,             0.86006,             0.73858,             0.84653,             0.60025,            0.018891,           0.0066009,                   0,          0.00096535,          0.00096535,          0.00096535
                   9,            0.038805,            0.016598,                   0,              0.8599,             0.80258,             0.87013,             0.59808,             0.02179,           0.0072132,                   0,           0.0009604,           0.0009604,           0.0009604
                  10,            0.039281,             0.01643,                   0,             0.87906,             0.81545,             0.90144,              0.6164,             0.02164,           0.0062555,                   0,          0.00095545,          0.00095545,          0.00095545
                  11,            0.036601,            0.015544,                   0,             0.93391,             0.84908,             0.93839,             0.58527,            0.022266,           0.0065039,                   0,           0.0009505,           0.0009505,           0.0009505
                  12,            0.035976,            0.015394,                   0,             0.91622,               0.897,             0.92128,             0.60291,            0.022083,           0.0062126,                   0,          0.00094555,          0.00094555,          0.00094555
                  13,             0.03561,            0.015769,                   0,             0.84594,             0.77768,             0.85401,             0.60535,            0.019423,           0.0066351,                   0,           0.0009406,           0.0009406,           0.0009406
                  14,            0.037775,            0.015557,                   0,             0.86303,             0.89237,             0.92791,             0.64171,            0.019184,            0.007029,                   0,          0.00093565,          0.00093565,          0.00093565
                  15,            0.034701,            0.014607,                   0,             0.93554,             0.88412,             0.93965,             0.63161,            0.020446,           0.0060659,                   0,           0.0009307,           0.0009307,           0.0009307
                  16,            0.035326,            0.014813,                   0,             0.89797,             0.88412,              0.9358,             0.68673,            0.019236,           0.0057429,                   0,          0.00092575,          0.00092575,          0.00092575
                  17,             0.03346,              0.0147,                   0,             0.92681,             0.84979,              0.9463,             0.69688,            0.018483,           0.0055273,                   0,           0.0009208,           0.0009208,           0.0009208
                  18,            0.034775,            0.015524,                   0,             0.91093,             0.88841,              0.9451,              0.7074,            0.018122,           0.0055718,                   0,          0.00091585,          0.00091585,          0.00091585
                  19,            0.032544,            0.013739,                   0,              0.9149,             0.82833,             0.93067,              0.6875,            0.017204,           0.0058964,                   0,           0.0009109,           0.0009109,           0.0009109
                  20,            0.033802,            0.015025,                   0,             0.90717,             0.79828,             0.90485,             0.64779,            0.017808,            0.006338,                   0,          0.00090595,          0.00090595,          0.00090595
                  21,            0.034554,            0.014827,                   0,              0.9009,             0.89733,             0.93712,             0.66388,            0.018369,           0.0063427,                   0,            0.000901,            0.000901,            0.000901
                  22,            0.034282,            0.014631,                   0,             0.93915,              0.8927,             0.94401,             0.71758,            0.017458,           0.0048671,                   0,          0.00089605,          0.00089605,          0.00089605
                  23,            0.032223,            0.014464,                   0,              0.9136,             0.81687,             0.89681,             0.64598,            0.017463,           0.0060712,                   0,           0.0008911,           0.0008911,           0.0008911
                  24,             0.03169,            0.013583,                   0,             0.92868,             0.83829,             0.93687,             0.72347,            0.016188,           0.0050056,                   0,          0.00088615,          0.00088615,          0.00088615
                  25,             0.03294,            0.014236,                   0,              0.9526,              0.8626,             0.94399,             0.67468,            0.017805,           0.0052025,                   0,           0.0008812,           0.0008812,           0.0008812
                  26,            0.030421,             0.01323,                   0,             0.94377,             0.79246,             0.89258,             0.67527,            0.016895,           0.0055023,                   0,          0.00087625,          0.00087625,          0.00087625
                  27,            0.031867,            0.014606,                   0,             0.95374,             0.82833,             0.92566,             0.69825,            0.017476,           0.0054268,                   0,           0.0008713,           0.0008713,           0.0008713
                  28,             0.03115,            0.013681,                   0,             0.96558,             0.87124,             0.95691,             0.71938,             0.01653,           0.0054308,                   0,          0.00086635,          0.00086635,          0.00086635
                  29,            0.031214,             0.01349,                   0,             0.90842,             0.85145,             0.91515,             0.67714,            0.017154,           0.0055675,                   0,           0.0008614,           0.0008614,           0.0008614
                  30,            0.030697,             0.01346,                   0,             0.93532,             0.86886,             0.93858,             0.71245,            0.016354,           0.0050914,                   0,          0.00085645,          0.00085645,          0.00085645
                  31,            0.030868,             0.01333,                   0,             0.94007,             0.81974,              0.9234,             0.68777,            0.016851,           0.0056111,                   0,           0.0008515,           0.0008515,           0.0008515
                  32,            0.031676,            0.013511,                   0,             0.89868,             0.85408,             0.92922,             0.70519,            0.016694,           0.0051026,                   0,          0.00084655,          0.00084655,          0.00084655
                  33,             0.02931,            0.013432,                   0,             0.89862,             0.90129,             0.95482,             0.72506,            0.015973,           0.0046286,                   0,           0.0008416,           0.0008416,           0.0008416
                  34,            0.029805,            0.013837,                   0,             0.95634,             0.84603,             0.94782,             0.76114,            0.016804,           0.0048421,                   0,          0.00083665,          0.00083665,          0.00083665
                  35,            0.029095,            0.013132,                   0,             0.86934,             0.91416,             0.94042,              0.7157,            0.016297,           0.0053329,                   0,           0.0008317,           0.0008317,           0.0008317
                  36,            0.028897,             0.01306,                   0,             0.89218,             0.92704,             0.95283,             0.72841,            0.015873,           0.0049182,                   0,          0.00082675,          0.00082675,          0.00082675
                  37,             0.02914,            0.012959,                   0,             0.94575,             0.87554,             0.94885,             0.72648,            0.016253,           0.0049297,                   0,           0.0008218,           0.0008218,           0.0008218
                  38,            0.030044,            0.012765,                   0,             0.93724,             0.89726,             0.95759,             0.76726,            0.015302,           0.0045795,                   0,          0.00081685,          0.00081685,          0.00081685
                  39,            0.029927,            0.012517,                   0,              0.8986,             0.90129,             0.94624,             0.74224,            0.015701,           0.0047528,                   0,           0.0008119,           0.0008119,           0.0008119
                  40,            0.028769,             0.01274,                   0,             0.93419,               0.853,             0.94742,             0.76121,            0.014186,           0.0049083,                   0,          0.00080695,          0.00080695,          0.00080695
                  41,            0.028855,            0.013388,                   0,             0.96202,             0.86964,             0.95253,             0.73379,            0.014964,           0.0046943,                   0,            0.000802,            0.000802,            0.000802
                  42,             0.02892,            0.013024,                   0,             0.88275,             0.90477,             0.95331,             0.72798,            0.015227,           0.0045502,                   0,          0.00079705,          0.00079705,          0.00079705
                  43,            0.028336,            0.012459,                   0,             0.92415,             0.91845,             0.95687,             0.72654,            0.015664,           0.0045273,                   0,           0.0007921,           0.0007921,           0.0007921
                  44,            0.028433,            0.012462,                   0,             0.93817,             0.88412,              0.9548,             0.73779,            0.015609,           0.0046811,                   0,          0.00078715,          0.00078715,          0.00078715
                  45,            0.030324,            0.013492,                   0,             0.95812,             0.91416,             0.96377,              0.7849,            0.015149,           0.0043043,                   0,           0.0007822,           0.0007822,           0.0007822
                  46,            0.027599,            0.012151,                   0,             0.95338,              0.8927,             0.95562,             0.78315,            0.014141,           0.0043428,                   0,          0.00077725,          0.00077725,          0.00077725
                  47,            0.028317,            0.011836,                   0,             0.93386,             0.90897,             0.96853,             0.78315,             0.01413,           0.0041319,                   0,           0.0007723,           0.0007723,           0.0007723
