epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1648,1.43991,2.57795,1.67363,0.81095,0.07367,0.185,0.0885,2.53945,2.92784,2.7996,0.0677333,0.000325926,0.000325926
2,63.2461,1.49978,1.80925,1.7391,0.48064,0.25751,0.31523,0.18457,1.76118,2.47455,2.44626,0.0347301,0.000655996,0.000655996
3,94.6889,1.52819,1.7958,1.71025,0.75123,0.20601,0.29549,0.175,2.09992,3.61405,2.51922,0.00172351,0.000982766,0.000982766
4,124.899,1.47287,1.6745,1.68865,0.49417,0.44635,0.42788,0.22078,1.95252,2.49367,2.56271,0.00098515,0.00098515,0.00098515
5,155.019,1.50435,1.65794,1.71111,0.46487,0.46977,0.42282,0.16865,1.96725,1.88528,2.97796,0.0009802,0.0009802,0.0009802
6,185.204,1.45316,1.60837,1.64858,0.4407,0.50215,0.45359,0.24488,1.63977,1.81887,2.16521,0.00097525,0.00097525,0.00097525
7,215.369,1.38632,1.56795,1.63426,0.62172,0.61803,0.6109,0.32671,1.51832,1.93102,2.02411,0.0009703,0.0009703,0.0009703
8,245.548,1.38628,1.48392,1.60708,0.78088,0.6309,0.71024,0.38717,1.50121,2.0759,2.00849,0.00096535,0.00096535,0.00096535
9,275.688,1.31473,1.34486,1.529,0.82687,0.69693,0.78631,0.52816,1.16367,1.16552,1.67588,0.0009604,0.0009604,0.0009604
10,305.83,1.26061,1.28725,1.49804,0.78247,0.6867,0.72016,0.47744,1.19946,1.27645,1.67026,0.00095545,0.00095545,0.00095545
11,335.963,1.22673,1.25142,1.47642,0.90709,0.75425,0.83459,0.5847,1.02861,1.03135,1.5632,0.0009505,0.0009505,0.0009505
12,366.13,1.21572,1.17774,1.45758,0.91184,0.71674,0.85046,0.60391,1.01046,0.94684,1.54771,0.00094555,0.00094555,0.00094555
13,396.251,1.21059,1.10902,1.4714,0.96986,0.69055,0.85595,0.63737,0.88493,0.96047,1.4212,0.0009406,0.0009406,0.0009406
14,426.408,1.19767,1.09035,1.4732,0.83924,0.76395,0.83634,0.60707,0.98327,0.96306,1.41883,0.00093565,0.00093565,0.00093565
15,456.559,1.15788,1.09498,1.41079,0.93634,0.76395,0.88325,0.69468,0.82858,0.84184,1.32497,0.0009307,0.0009307,0.0009307
16,486.713,1.18813,1.11324,1.45712,0.93753,0.77292,0.85946,0.62289,0.97011,1.03576,1.48279,0.00092575,0.00092575,0.00092575
17,516.891,1.14288,1.07404,1.39647,0.92286,0.77023,0.88602,0.70359,0.83493,0.87101,1.33567,0.0009208,0.0009208,0.0009208
18,547.04,1.07348,0.9921,1.34902,0.95004,0.71245,0.8657,0.64917,0.80776,0.93441,1.35167,0.00091585,0.00091585,0.00091585
19,577.179,1.08524,0.94111,1.35919,0.92861,0.78541,0.89067,0.71157,0.73597,0.77556,1.20888,0.0009109,0.0009109,0.0009109
20,607.318,1.10149,0.95314,1.38101,0.92831,0.78541,0.89555,0.71225,0.79891,0.80037,1.3134,0.00090595,0.00090595,0.00090595
